stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
COU1PBOU,COU1PBOU,Bouchez,70 Rue Pierre Bouchez 62710 Courrières,50.44967671069448,2.9403047201875148,,,0,,1
ANN2MDOR,ANN2MDOR,Mont Doré,1 Rue du Mont Dore 62880 Annay,50.457785459175895,2.889144625662528,,,0,,1
BRU1LEPM,BRU1LEPM,Mendès France,242 Rue des Ecoles 62700 Bruay-la-Buissière,50.48478532538071,2.533854079216469,,,0,,0
BRU1BH08,BRU1BH08,Flament,163 Avenue Augustin Flament 62700 Bruay-la-Buissière,50.47022202211309,2.556275540155982,,,0,,1
DOV2CIDM,DOV2CIDM,Cité du Maroc,76 Rue du 8 Mai 62138 Douvrin,50.509605581618494,2.843666753075216,,,0,,0
COC2ROGL,COC2ROGL,Cité Rogliano,87 Rue Raoul Briquet 62970 Courcelles-lès-Lens,50.42023343316205,3.010298973895536,,,0,,0
BRU1BH01,BRU1BH01,Voltaire,72 Rue Voltaire 62940 Haillicourt,50.47424231519523,2.575160280478181,,,0,,1
BRU1BH07,BRU1BH07,CCial Lenoir,1 Rue Jean Joseph Etienne Lenoir 62700 Bruay-la-Buissière,50.49493660722238,2.586102444249606,,,0,,1
HEN1TIL2,HEN1TIL2,Tilloy,133 Rue de Valmy 62110 Hénin-Beaumont,50.41414613620451,2.9509576460741345,,,0,,0
BEU2HLEF,BEU2HLEF,Lefebvre,470 Rue Jean Jaurès 62660 Beuvry,50.52555866528515,2.6852330821402672,,,0,,0
LIE2MOUS,LIE2MOUS,Mousseron,49 Rue Dutemple 62800 Liévin,50.43212247197108,2.755257490187145,,,0,,0
AIX2EPIN,AIX2EPIN,Epinette,11 Rue de Nantes 62160 Aix-Noulette,50.442225999941975,2.695319383839589,,,0,,0
ANZ1ROS1,ANZ1ROS1,Rue des Rosiers,753 Rue Capitaine Coussette 62232 Annezin,50.53894163231387,2.6154045073180168,,,0,,0
DIV1PISC,DIV1PISC,Piscine,47 bis Rue Louis Pasteur 62460 Divion,50.47095638134838,2.4991186429874594,,,0,,0
AUC2RIMB,AUC2RIMB,Rimbert,2 Rue du Four 62260 Auchel,50.51851760150734,2.457832001242787,,,0,,1
BRU2VELO,BRU2VELO,Vélodrome,326 Avenue de la Liberation (La Bussière) 62700 Bruay-la-Buissière,50.48934876773955,2.561956246776171,,,0,,0
ESC1HDE2,ESC1HDE2,Haut d'Estrée,14 Chaussée Brunehaut 62690 Estrée-Cauchy,50.39631387324678,2.611189773599759,,,0,,1
BRU14CHE,BRU14CHE,4 Chemins,777 b Rue Anatole France 62700 Bruay-la-Buissière,50.48635850848124,2.558469435513845,,,0,,0
LEN2PSA2,LEN2PSA2,Cantin Salengro,78 Rue René Lanoy 62300 Lens,50.43263875784907,2.833647031749632,,,0,,1
WIN2LPRO,WIN2LPRO,Buisine,34 Rue des Freres Buisine 62410 Wingles,50.49184672991923,2.8467502790606938,,,0,,0
NOE2DAUD,NOE2DAUD,Rue Pasteur,38 Rue Roger Salengro 62290 Nœux-les-Mines,50.475120990729806,2.661853994442853,,,0,,0
HAS1CIDE,HAS1CIDE,Cité Dejong,2 Route de Lens 62138 Douvrin,50.51636665101036,2.8059965560915123,,,0,,0
NOG1BAPI,NOG1BAPI,Rivage,71 Rue Gambetta 62950 Noyelles-Godault,50.42390963860741,3.0041963798460034,,,0,,1
HEN1PRUV,HEN1PRUV,Pruvot,361 Rue Leon Pruvot 62110 Hénin-Beaumont,50.42438351118338,2.958231887845966,,,0,,0
ANZ2LIBE,ANZ2LIBE,Liberté,373 Rue de Saint-Venant 62232 Annezin,50.54223293355587,2.623728876167723,,,0,,0
DIV2CDGR,DIV2CDGR,Croix de Grès,26 Rue des Frères Caron 62460 Divion,50.47066944856568,2.512121346827751,,,0,,0
WIN2VETI,WIN2VETI,Vert Tilleul,320 Rue Gabriel Péri 62410 Wingles,50.4869191063858,2.834071827813258,,,0,,1
NOY2EGLI,NOY2EGLI,Mairie,245 Rue des Résistants 62980 Noyelles-lès-Vermelles,50.48822920437381,2.723914543406775,,,0,,0
BEU1MAIR,BEU1MAIR,Mairie,2 Place Roger Salengro 62660 Beuvry,50.52229401431037,2.6817063423367853,,,0,,1
AUC2CLIN,AUC2CLIN,Dr Laënnec,61 Rue du Docteur Laennec 62260 Auchel,50.50137329646021,2.4747972584758107,,,0,,0
VEM2PLA2,VEM2PLA2,Mairie,5 Place de la République 62980 Vermelles,50.48811531570412,2.7453175766848097,,,0,,0
RUI2LHAY,RUI2LHAY,Les Hayes,87 Rue de Maisnil 62620 Ruitz,50.46022156191732,2.583020870767916,,,0,,0
BEU1TEUG,BEU1TEUG,Teugneville,702 Route de Lille 62660 Beuvry,50.5144903530858,2.6906858904788984,,,0,,0
CAR2PGAM,CAR2PGAM,Gambetta,68 Rue Florent Evrard 62220 Carvin,50.48604986232081,2.947646900612419,,,0,,0
HOU1AERO,HOU1AERO,Aéronautes,65 a Avenue des Aeronautes 62150 Houdain,50.46376458037802,2.549781562197924,,,0,,0
